URL,Suspicious,Threat Score,Total Indicators,Base64Strings,PowerShellCommands,EncodedPowerShell,PowerShellDownloads,ClipboardManipulation,ClipboardCommands,CaptchaElements,ObfuscatedJavaScript,SuspiciousCommands,SuspiciousKeywords,IP Addresses,High Risk Commands,JavaScript Redirects,Redirect Follows
http://93.152.230.54/,Yes,1613,449,47,0,0,0,1,0,0,0,1,4,0,0,8,0
https://171.22.16.134/,Yes,290,27,1,2,0,0,0,0,0,1,2,0,0,1,0,0
http://185.196.8.60/,No,62,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://admin.gestroom.it/,No,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://test.peperoncinochepassione.it/,No,52,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1
https://first-security-verden.de/,No,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.first-security-verden.de/,No,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://zamilgroups.com/,No,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://www.website.mypetapp.co.za/,No,52,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1
https://www.bratusferramentas.grupomoltz.com.br/,Yes,371,42,3,3,0,0,4,1,7,0,4,13,0,3,0,1
https://website.mypetapp.co.za/,No,52,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1
https://bmdcompany.com/,No,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://www.zamilgroups.com/,No,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://www.test.peperoncinochepassione.it/,No,52,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1
https://82.146.62.232/,No,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://101.32.40.22/,Yes,169,27,0,0,0,0,4,1,4,0,0,10,0,0,0,0
https://shop.stil.co.ug,No,700,494,2,0,0,0,0,0,0,0,0,3,2,0,0,0
https://google-security-bypass-v-011002.pages.dev,Yes,100,8,1,2,0,0,0,0,0,1,2,0,0,1,0,0
https://google-security-bypass-v-011003.pages.dev,Yes,150,12,5,2,0,0,0,0,0,1,2,0,0,1,0,0
